num,name,t1_s,x,y,z
1,max cooper - repetition,0,0.04832522651,0.8202633925,0.3524161941
2,sappheiros - fading,324,0.402337484,-0.8052879054,-0.4281718348
3,max cooper - scalar,433,-0.8578761336,0.08559587291,0.5295661173
4,TEED - garden (calibre remix),572,0.1139932598,0.2792745456,-0.5353179179
5,jamesjamesjames - omokage.,754,-0.09490960419,0.5466731758,0.4334437755
6,baynk - down,852,0.8079341531,-0.1422752821,-0.4819076203
7,lane 8 - every night,977,0.07907845658,0.6623320455,-0.6394427364
8,amtrac + TEED - radical,1136,0.4320562638,0.6865645498,-0.209464736
9,memba - strider,1275,0.1279239288,0.6566276328,0.3564072014
10,max cooper - perpetual motion,1454,0.6773272766,-0.112357945,-0.3879926243
11,caribou - never come back,1601,-0.5331341764,-0.09752334942,0.1560564148
12,bonobo - linked,1866,0.004730681579,0.3531859468,-0.426052383
13,baynk - high,2044,-0.5159608282,0.9291761005,-0.7092632383
14,chemical brothers - got to keep on,2220,0.4827765617,-0.2827403413,0.9446107251
15,"atelier francesco, astrid - dead end (tim green remix)",2338,0.158753219,0.3741512307,-0.5393540805
16,"henry green, andreya triana - tide (trey mirror remix)",2650,-0.004883143506,-0.3655379674,-0.5811734836
17,little people - how to navigate,2768,-0.5537037897,0.1856511173,-0.5166453343
18,tourist - kin (kidswaste remix),2881,0.1784401783,0.7728182929,-0.1932649927
19,rufus du sol - new sky (two lanes remix),3182,0.2947241422,-0.4209270902,0.05001200134
20,tourist - bunny,3294,-0.4637532422,0.1638644754,-0.5581546599